order_id,order_date,region,channel,product,quantity,unit_price,discount,revenue,cost,profit
ORD0001,2025-01-05,North,Online,Laptop,2,650,0.05,1235.00,826.45,408.55
ORD0002,2025-01-12,South,Retail,Monitor,4,220,0.00,880.00,629.20,250.80
ORD0003,2025-02-03,East,Partner,Keyboard,6,55,0.10,297.00,180.18,116.82
ORD0004,2025-02-18,West,Online,Headset,5,75,0.00,375.00,251.25,123.75
ORD0005,2025-03-02,North,Retail,Mouse,8,30,0.05,228.00,152.76,75.24
ORD0006,2025-03-15,South,Online,Laptop,3,650,0.10,1755.00,1200.75,554.25
ORD0007,2025-04-06,East,Retail,Monitor,5,220,0.05,1045.00,731.50,313.50
ORD0008,2025-04-21,West,Partner,Keyboard,7,55,0.00,385.00,253.71,131.29
ORD0009,2025-05-07,North,Online,Headset,4,75,0.15,255.00,178.50,76.50
ORD0010,2025-05-25,South,Retail,Mouse,9,30,0.00,270.00,183.60,86.40
ORD0011,2025-06-11,East,Online,Laptop,2,650,0.00,1300.00,897.00,403.00
ORD0012,2025-06-28,West,Retail,Monitor,3,220,0.10,594.00,403.92,190.08
ORD0013,2025-07-09,North,Partner,Keyboard,5,55,0.05,261.25,172.43,88.82
ORD0014,2025-08-14,South,Online,Headset,6,75,0.00,450.00,301.50,148.50
ORD0015,2025-09-20,East,Retail,Mouse,7,30,0.10,189.00,124.74,64.26
ORD0016,2025-10-03,West,Online,Laptop,4,650,0.05,2470.00,1605.50,864.50
ORD0017,2025-11-18,North,Retail,Monitor,6,220,0.00,1320.00,897.60,422.40
ORD0018,2025-12-22,South,Partner,Keyboard,8,55,0.15,374.00,258.06,115.94
